#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.70305  0.63494 -0.02684 -0.80480  0.000268  0.000106  0.000242     2.515
   1.72262  0.65427 -0.02383 -0.80502  0.000278  0.000110  0.000228     2.534
   1.74216  0.67358 -0.02082 -0.80498  0.000289  0.000113  0.000216     2.550
   1.76159  0.69278 -0.01784 -0.80462  0.000299  0.000117  0.000205     2.566
   1.78083  0.71180 -0.01494 -0.80374  0.000311  0.000120  0.000192     2.589
   1.79984  0.73059 -0.01213 -0.80302  0.000321  0.000123  0.000183     2.600
   1.81861  0.74917 -0.00945 -0.80236  0.000330  0.000126  0.000177     2.606
   1.83717  0.76756 -0.00690 -0.80243  0.000334  0.000129  0.000178     2.591
   1.85554  0.78578 -0.00452 -0.80237  0.000340  0.000132  0.000176     2.585
   1.87365  0.80375 -0.00231 -0.80247  0.000345  0.000134  0.000175     2.577
   1.89138  0.82137 -0.00030 -0.80283  0.000349  0.000136  0.000175     2.564
   1.90871  0.83861  0.00147 -0.80367  0.000351  0.000138  0.000179     2.544
   1.92572  0.85555  0.00297 -0.80608  0.000345  0.000138  0.000193     2.492
   1.94249  0.87228  0.00422 -0.81050  0.000333  0.000138  0.000217     2.417
   1.95899  0.88874  0.00521 -0.81564  0.000322  0.000137  0.000240     2.356
   1.97495  0.90468  0.00595 -0.81978  0.000318  0.000137  0.000250     2.331
   1.99007  0.91980  0.00639 -0.82290  0.000319  0.000137  0.000251     2.327
   2.00423  0.93396  0.00646 -0.82888  0.000309  0.000136  0.000274     2.277
   2.01748  0.94720  0.00613 -0.84111  0.000282  0.000130  0.000337     2.164
   2.02992  0.95963  0.00540 -0.86340  0.000242  0.000120  0.000459     2.007
   2.04171  0.97137  0.00431 -0.89840  0.000198  0.000107  0.000653     1.853
   2.05295  0.98252  0.00291 -0.95032  0.000157  0.000091  0.000951     1.724
   2.06372  0.99316  0.00124 -1.05226  0.000108  0.000068  0.001662     1.583
   2.07068  1.00000  0.00000 -1.09039  0.000106  0.000065  0.003368     1.634
   2.07068  1.00010 -0.00002  1.09039  0.162093  0.012068  0.000000    13.432
   2.07769  1.00698 -0.00137  1.08788  0.160875  0.012496  0.000000    12.874
   2.08586  1.01507 -0.00254  1.08500  0.160548  0.012989  0.000000    12.360
   2.09537  1.02452 -0.00362  1.08161  0.160117  0.013574  0.000000    11.796
   2.10645  1.03555 -0.00461  1.07761  0.159483  0.014271  0.000000    11.176
   2.11934  1.04841 -0.00551  1.07287  0.158538  0.015102  0.000000    10.498
   2.13436  1.06341 -0.00627  1.06724  0.157172  0.016097  0.000000     9.764
   2.15185  1.08089 -0.00683  1.06054  0.155255  0.017292  0.000000     8.979
   2.17221  1.10125 -0.00713  1.05253  0.152635  0.018733  0.000000     8.148
   2.19592  1.12496 -0.00707  1.04291  0.149122  0.020482  0.000000     7.281
   2.22353  1.15256 -0.00653  1.03125  0.144494  0.022620  0.000000     6.388
   2.25568  1.18469 -0.00536  1.01694  0.138491  0.025273  0.000000     5.480
   2.29311  1.22207 -0.00338  0.99887  0.130842  0.028664  0.000000     4.565
   2.33670  1.26556 -0.00034  0.97360  0.121453  0.033508  0.000000     3.625
   2.38746  1.31613  0.00403  0.93740  0.110414  0.040754  0.000000     2.709
   2.44657  1.37492  0.01008  0.92074  0.097258  0.044144  0.000000     2.203
   2.51539  1.44326  0.01823  0.91410  0.084111  0.045450  0.000000     1.851
   2.59553  1.52267  0.02900  0.91591  0.072278  0.045115  0.000000     1.602
   2.68885  1.61494  0.04298  0.92349  0.062543  0.043828  0.000000     1.427
   2.79751  1.72211  0.06091  0.93377  0.055043  0.042225  0.000000     1.304
   2.92405  1.84659  0.08364  0.94457  0.049448  0.040672  0.000000     1.216
   3.07138  1.99113  0.11219  0.96440  0.043711  0.038069  0.000000     1.148
